연번,민방위 대피시설명,시설구분,시설 주소,위도,경도,시설 면적,대피가능 인원수,개방여부,평상시 활용 유형,관리기관 전화번호,관리기관명
66,대소부영아파트,공공용,충청북도 음성군 대소면 대청로 17,36.99154056,127.4499887,4385,5315,Y,주차장,043-871-3263,충청북도 음성군
67,대소웰메이드타운,공공용,충청북도 음성군 대소면 대화1길 44-8,36.96396501,127.4958791,10884,13192,Y,주차장,043-871-3263,충청북도 음성군
68,LH쌍용예가아파트,공공용,충청북도 음성군 맹동면 사예로 20,36.91101982,127.5407624,23808,28858,Y,주차장,043-871-3263,충청북도 음성군
69,천년나무1단지아파트,공공용,충청북도 음성군 맹동면 이수로 31,36.9149942,127.5449695,10577,12820,Y,주차장,043-871-3263,충청북도 음성군
70,영무예다음3차아파트,공공용,충청북도 음성군 맹동면 장성1길 9,36.91050998,127.5371501,27907,33826,Y,주차장,043-871-3263,충청북도 음성군
71,LH이노밸리아파트,공공용,충청북도 음성군 맹동면 학예로 55,36.91403324,127.5430909,25705,31157,Y,주차장,043-871-3263,충청북도 음성군
72,음성삼성휴먼시아아파트,공공용,충청북도 음성군 삼성면 덕정로 29-7,37.01880416,127.494208,2869,3477,Y,주차장,043-871-3263,충청북도 음성군
73,금광포란재아파트,공공용,충청북도 음성군 음성읍 반기문로45-15,36.91997918,127.6880027,9985,12103,Y,주차장,043-871-3263,충청북도 음성군
74,지평더웰아파트,공공용,충청북도 음성군 음성읍 설성공원길 23-7,36.93194589,127.6897939,7247,8784,Y,주차장,043-871-3263,충청북도 음성군
75,음성지평더웰2차아파트,공공용,충청북도 음성군 음성읍 설성공원길 33-9,36.93290212,127.6896049,3718,4506,Y,주차장,043-871-3263,충청북도 음성군
76,삼보아파트,공공용,충청북도 음성군 음성읍 시장로 45,36.93153547,127.6934268,3688,4470,Y,주차장,043-871-3263,충청북도 음성군
77,음성군청 지하,공공용,충청북도 음성군 음성읍 중앙로 173,36.94028132,127.6905138,221.62,268,Y,지하,043-871-3263,충청북도 음성군
78,신천 휴먼시아 아파트,공공용,충청북도 음성군 음성읍 중앙로40번길16,36.92718298,127.6913133,2943,3567,Y,주차장,043-871-3263,충청북도 음성군
79,센트럴코아루아파트,공공용,"충청북도 제천시 강저로11나길 13(강제동, 센트럴코아루)",37.12046095,128.2035487,5967,7232,Y,지하주차장,043-641-4624,충청북도 제천시청
80,극동아파트,공공용,"충청북도 제천시 관전로1길 35(신백동, 극동아파트)",37.12947515,128.2256571,1980,2400,Y,지하주차장,043-641-4556,충청북도 제천시청
81,장락 엘크루힐즈아파트,공공용,"충청북도 제천시 내제로 339 (장락동, 장락 엘크루힐즈)",37.14616526,128.2227068,7564,9168,Y,지하주차장,043-641-4363,충청북도 제천시청
82,제천시청,공공용,충청북도 제천시 내토로 295(천남동),37.13301301,128.1914992,490,594,Y,지하식당,043-641-4494,충청북도 제천시청
83,무궁화아파트,공공용,"충청북도 제천시 내토로44길 13(화산동, 무궁화아파트)",37.12622091,128.2140821,371,450,Y,지하주차장,043-641-4624,충청북도 제천시청
84,파라디아아파트,공공용,"충청북도 제천시 내토로57길 19(장락동, 파라디아아파트)",37.14896213,128.2239095,5984,7253,Y,지하주차장,043-641-4365,충청북도 제천시청
85,신안실크밸리스카이시트,공공용,"충청북도 제천시 내토로59길31(장락동,신안실크밸리)",37.15322808,128.2238309,7593,9640,Y,지하주차장,043-641-6002,충청북도 제천시청
86,천일베리굿아파트,공공용,"충청북도 제천시 내토로65길17(장락동, 천일베리굿)",37.15573116,128.2276748,1014,1228,Y,지하주차장,043-641-4362,충청북도 제천시청
87,대원대학교,공공용,"충청북도 제천시 대학로 316(신월동, 대원대학)",37.17579528,128.1905314,754,914,Y,식당,043-641-4524,충청북도 제천시청
88,동현현대아파트,공공용,"충청북도 제천시 독순로 140(동현동, 현대아파트)",37.1362581,128.2186495,677,820,Y,지하주차장,043-641-4457,충청북도 제천시청
89,건양빌딩,공공용,충청북도 제천시 독순로 64(중앙로2가),37.13902992,128.2101767,194,235,Y,지하주차장,043-641-4426,충청북도 제천시청
90,교동두진아파트,공공용,"충청북도 제천시 독순로23길 19(교동, 두진아파트)",37.13782269,128.2203583,1857,2247,Y,지하주차장,043-641-4365,충청북도 제천시청
91,신월동 행복주택아파트,공공용,"충청북도 제천시 복합타운길 135 (신월동, 제천행복주택)",37.16222426,128.1859808,8962,10863,Y,지하주차장,043-641-4524,충청북도 제천시청
92,세명대학교,공공용,"충청북도 제천시 세명로 65(신월동, 세명대학교)",37.17380696,128.196148,992,1202,Y,강의실,043-641-4524,충청북도 제천시청
93,서울병원,공공용,충청북도 제천시 숭문로 57(서부동),37.13873644,128.2064402,206,250,Y,병원,043-641-4494,충청북도 제천시청
94,제천여성문화센터,공공용,"충청북도 제천시 숭의로 48(화산동, 제천시여성회관)",37.13091874,128.2107362,330,400,Y,강의실,043-641-4624,충청북도 제천시청
95,선광로즈웰아파트,공공용,"충청북도 제천시 신백로 30(신백동, 선광로즈웰아파트)",37.12803227,128.2254313,891,1080,Y,지하주차장,043-641-4556,충청북도 제천시청
96,모산로즈웰아파트,공공용,"충청북도 제천시 신죽하로 165(모산동, 로즈웰아파트)",37.16003798,128.2119165,1898,2300,Y,지하주차장,043-641-4403,충청북도 제천시청
97,롯데캐슬아파트,공공용,"충청북도 제천시 신축하로 83-24(장락동, 장락롯데캐슬)",37.15924578,128.2220265,7345,8903,Y,지하주차장,043-641-4365,충청북도 제천시청
98,하소현대아파트,공공용,"충청북도 제천시 용두대로15길 38(하소동, 현대아파트)",37.1412927,128.1967432,2686,3257,Y,지하주차장,043-641-4524,충청북도 제천시청
99,청구아파트,공공용,"충청북도 제천시 용두대로15길 47(하소동, 청구아파트)",37.13964911,128.1967578,2478,3006,Y,지하주차장,043-641-4524,충청북도 제천시청
100,제천그린코아루아파트,공공용,"충청북도 제천시 용두대로7길 25(하소동, 그린코아루아파트)",37.13336243,128.1961682,7724,9362,Y,지하주차장,043-641-4524,충청북도 제천시청
101,하소힐스테이트아파트,공공용,"충청북도 제천시 용두대로7길 36(하소동, 힐스테이트아파트)",37.13703847,128.1965321,8067,9778,Y,지하주차장,043-641-4524,충청북도 제천시청
102,성우한솔아파트,공공용,"충청북도 제천시 용두천로 257(청전동, 성우한솔아파트)",37.14920242,128.2194786,942,1142,Y,지하주차장,043-641-4586,충청북도 제천시청
103,고암두진백로아파트,공공용,"충청북도 제천시 용두천로 384(고암동, 고암두진백로아파트)",37.15924183,128.2192616,5445,6600,Y,지하주차장,043-641-4403,충청북도 제천시청
104,보미파란채아파트,공공용,"충청북도 제천시 용두천로46길 12(고암동, 보미파란채)",37.15792614,128.218583,5870,7115,Y,지하주차장,043-641-4403,충청북도 제천시청
105,코아루아파트,공공용,"충청북도 제천시 원뜰로 14(천남동, 코아루아파트)",37.13161544,128.1953574,6340,7684,Y,지하주차장,043-641-4494,충청북도 제천시청
106,신원아침도시더퍼스트아파트,공공용,"충청북도 제천시 원뜰로 25, 신원아침도시더퍼스트아파트 (천남동)",37.13218549,128.1938527,13504,16368,Y,지하주차장,043-641-4494,충청북도 제천시청
107,서희스타힐스아파트,공공용,"충청북도 제천시 원화산로 43(화산동, 서희스타힐스)",37.12588207,128.2119748,7991,9686,Y,지하주차장,043-641-4624,충청북도 제천시청
108,제천역지하도,공공용,충청북도 제천시 의림대로 1(영천동),37.12845259,128.2041118,132,160,Y,지하도,043-641-4494,충청북도 제천시청
109,제천시민회관,공공용,"충청북도 제천시 의림대로 125(중앙로2가, 제천시민회관)",37.13923285,128.2107742,330,400,Y,"회의,교육장",043-641-4426,충청북도 제천시청
110,유안타증권,공공용,충청북도 제천시 의림대로 167(의림동),37.1425133,128.2126497,1227,1336,Y,지하주차장,043-641-4426,충청북도 제천시청
111,삼익상가,공공용,"충청북도 제천시 의림대로2길 9(화산동, 삼익상가아파트)",37.12884924,128.2069268,1138,1380,Y,지하주차장,043-641-4624,충청북도 제천시청
112,장미아파트,공공용,"충청북도 제천시 의병대로36길 28(신백동, 장미아파트)",37.13011485,128.2268782,578,700,Y,지하주차장,043-641-4556,충청북도 제천시청
113,덕일한마음2차아파트,공공용,"충청북도 제천시 의병대포35길 28(신백동, 덕일한마음2차아파트)",37.1342961,128.2275174,3544,4295,Y,지하주차장,043-641-4556,충청북도 제천시청
114,장락로즈웰아파트,공공용,"충청북도 제천시 장락로 169(장락동, 로즈웰아파트)",37.15774194,128.2263069,1517,1836,Y,지하주차장,043-641-4365,충청북도 제천시청
115,장락e-편한세상아파트,공공용,"충청북도 제천시 장락로 62(장락동, 장락e-편한세상)",37.1474164,128.2231186,6557,7947,Y,지하주차장,043-641-4365,충청북도 제천시청
116,장락주공1단지아파트,공공용,"충청북도 제천시 죽하로 30(장락동, 장락주공아파트1단지)",37.15516552,128.2255674,4827,5839,Y,지하주차장,043-641-4365,충청북도 제천시청
117,장락주공2단지아파트,공공용,"충청북도 제천시 죽하로 48(장락동, 장락주공아파트2단지)",37.15557728,128.2254795,1967,2383,Y,지하주차장,043-641-4365,충청북도 제천시청
118,청전두진백로2차아파트,공공용,"충청북도 제천시 청전대로 100(청전동, 두진백로2차아파트)",37.14801301,128.2096381,1262,1530,Y,지하주차장,043-641-4586,충청북도 제천시청
119,청전지하상가,공공용,충청북도 제천시 청전대로 166(청전동),37.15120283,128.2152514,578,700,Y,지하상가,043-641-4586,충청북도 제천시청
120,미림청솔아파트,공공용,"충청북도 제천시 청전대로 211(장락동, 미림청솔아파트)",37.15278041,128.2213055,1394,1687,Y,지하주차장,043-641-4365,충청북도 제천시청
121,이형아파트,공공용,"충청북도 제천시 청전대로14길 30(청전동, 이형아파트)",37.14849455,128.2136548,598,725,Y,지하주차장,043-641-4586,충청북도 제천시청
122,휴먼시아3단지아파트,공공용,"충청북도 제천시 청풍호로10길 16(강제동, 강저휴먼시아3단지)",37.11994786,128.2011912,3323,4030,Y,지하주차장,043-641-4624,충청북도 제천시청
123,강저코아루파크아파트,공공용,"충청북도 제천시 청풍호로10길 31(강제동, 강저코아루파크)",37.12038268,128.1977551,1393,1688,Y,지하주차장,043-641-4624,충청북도 제천시청
124,강저롯데캐슬 프리미어아파트,공공용,"충청북도 제천시 청풍호로10길53(강제동,롯데캐슬프리미어)",37.12277658,128.1980314,7443,9021,Y,지하주차장,043-641-4624,충청북도 제천시청
125,휴먼시아2단지아파트,공공용,"충청북도 제천시 청풍호로7길 110(강제동, 제천강저2휴먼시아)",37.12121752,128.2060585,1473,1786,Y,지하주차장,043-641-4624,충청북도 제천시청
126,휴먼시아아파트,공공용,"충청북도 제천시 청풍호로7길 20(영천동, 휴먼시아1단지아파트)",37.12471179,128.2058664,5400,6545,Y,지하주차장,043-641-4494,충청북도 제천시청
127,청전두진백로1차아파트,공공용,"충청북도 제천시 칠성로 19(청전동, 두진백로1차아파트)",37.14604136,128.2093115,1295,1570,Y,지하주차장,043-641-4586,충청북도 제천시청
128,청전덕일한마음아파트,공공용,"충청북도 제천시 칠성로 5(청전동, 덕일한마음아파트)",37.14760344,128.2077471,1559,1890,Y,지하주차장,043-641-4586,충청북도 제천시청
129,신백덕일한마음아파트,공공용,"충청북도 제천시 탑안로4길 11(신백동, 덕일한마음아파트)",37.13506546,128.2290919,4500,5454,Y,지하주차장,043-641-4556,충청북도 제천시청
130,한국전력공사제천지점,공공용,"충청북도 제천시 풍양로 57(의림동, 한국전력제천지점)",37.13930026,128.2066382,1448,1756,Y,지하주차장,043-641-4426,충청북도 제천시청
131,농협중앙회제천시지부,공공용,"충청북도 제천시 풍양로 92(명동, 농협중앙회제천시지부)",37.13746463,128.2099357,545,660,Y,지하주차장,043-641-4426,충청북도 제천시청
132,증평군청,공공용,충청북도 증평군 증평읍 광장로 88,36.78537913,127.5815198,350,424,Y,지하주차장 및 대피소,043-835-4722,증평군청
133,대성베르힐A,공공용,충청북도 증평군 증평읍 북부두름길 80,36.78928811,127.5888815,8000,9696,Y,지하주차장 및 대피소,043-835-4722,증평군청
134,동진A,공공용,충청북도 증평군 증평읍 삼일로5길 4,36.78064744,127.5838746,1136,1376,Y,지하주차장 및 대피소,043-835-4722,증평군청
135,대광로제비앙A,공공용,충청북도 증평군 증평읍 송산로 105,36.79304719,127.5799398,23589,28592,Y,지하주차장 및 대피소,043-835-4722,증평군청
136,지평더웰A,공공용,충청북도 증평군 증평읍 송산로 11,36.78916215,127.5729179,7000,8484,Y,지하주차장 및 대피소,043-835-4722,증평군청
137,휴먼시아1단지A,공공용,충청북도 증평군 증평읍 송산로 35,36.78955566,127.5744315,3580,4339,Y,지하주차장 및 대피소,043-835-4722,증평군청
138,휴먼시아2단지A,공공용,충청북도 증평군 증평읍 송산로 53,36.79025507,127.5766169,4063,4924,Y,지하주차장 및 대피소,043-835-4722,증평군청
139,천년나무3단지A,공공용,충청북도 증평군 증평읍 송산로4길 14,36.79172487,127.5834867,2414,2926,Y,지하주차장 및 대피소,043-835-4722,증평군청
140,삼일A,공공용,충청북도 증평군 증평읍 장뜰로 110,36.78700268,127.5874533,3109,3768,Y,지하주차장 및 대피소,043-835-4722,증평군청
141,삼일무지개A,공공용,충청북도 증평군 증평읍 진지내6길 20,36.78347097,127.5929967,895,1084,Y,지하주차장 및 대피소,043-835-4722,증평군청
142,파라디아2차A,공공용,충청북도 증평군 증평읍 창신로 8-1,36.78335409,127.5737613,2403,2912,Y,지하주차장 및 대피소,043-835-4722,증평군청
143,한라비발디A,공공용,충청북도 증평군 증평읍 초중6길 8,36.77560174,127.5690666,7300,8848,Y,지하주차장 및 대피소,043-835-4722,증평군청
144,파라디아1차A,공공용,충청북도 증평군 증평읍 충청대로 1746,36.78562051,127.5789569,7400,8969,Y,지하주차장 및 대피소,043-835-4722,증평군청
145,광혜원코아루아파트,공공용,충청북도 진천군 광혜원면 구암길 11,36.99063401,127.4368599,10435,12648,Y,지하주차장,043-539-3692,충청북도 진천군
146,광혜원면사무소,공공용,충청북도 진천군 광혜원면 화랑길 86,36.99347623,127.4358202,275,333,Y,대피시설,043-539-3692,충청북도 진천군
147,우미린스테이아파트,공공용,충청북도 진천군 덕산읍 대하로 150,36.90385935,127.5364886,5326,6456,Y,지하주차장,043-539-3692,충청북도 진천군
148,영무2차아파트,공공용,충청북도 진천군 덕산읍 대하로 195,36.9063201,127.5397963,19639,23804,Y,지하주차장,043-539-3692,충청북도 진천군
149,영무1차아파트,공공용,충청북도 진천군 덕산읍 대하로 87,36.90234751,127.5304282,26572,32208,Y,지하주차장,043-539-3692,충청북도 진천군
150,덕산읍사무소,공공용,충청북도 진천군 덕산읍 덕금로 829,36.91373821,127.5091993,120,145,Y,대피시설,043-539-3692,충청북도 진천군
151,천년나무7단지아파트,공공용,충청북도 진천군 덕산읍 연미로 131,36.90586892,127.5296267,19634,23798,Y,지하주차장,043-539-3692,충청북도 진천군
152,천년나무4단지아파트,공공용,충청북도 진천군 덕산읍 연미로 87,36.90403822,127.528243,24612,29832,Y,지하주차장,043-539-3692,충청북도 진천군
153,이월면사무소,공공용,충청북도 진천군 이월면 진광로 729,36.9258027,127.4284088,89,108,Y,대피시설,043-539-3692,충청북도 진천군
154,영화블렌하임아파트,공공용,충청북도 진천군 진천읍 농다리로 1422,36.84755242,127.4570412,2560,3103,Y,지하주차장,043-539-3692,충청북도 진천군
155,지안스필유아파트,공공용,충청북도 진천군 진천읍 대촌1길 16,36.86233648,127.4469109,3517,4263,Y,지하주차장,043-539-3692,충청북도 진천군
156,우주동백3차 아파트 지하주차장,공공용,충청북도 진천군 진천읍 덕금로 55,36.86628529,127.4549323,2060,2497,Y,지하주차장,043-539-3692,충청북도 진천군
157,대명루첸아파트,공공용,충청북도 진천군 진천읍 문화2길 36,36.85200976,127.4459941,45672,55360,Y,지하주차장,043-539-3692,충청북도 진천군
158,벽암휴먼시아,공공용,충청북도 진천군 진천읍 문화로 237-19,36.86095606,127.437205,3289,3987,Y,지하주차장,043-539-3692,충청북도 진천군
159,진천군청,공공용,충청북도 진천군 진천읍 상산로 13,36.8553694,127.4356936,862,1045,Y,대피시설,043-539-3692,충청북도 진천군
160,진천읍사무소,공공용,충청북도 진천군 진천읍 상산로 65,36.85498297,127.441275,165,200,Y,대피시설,043-539-3692,충청북도 진천군
161,부영1차아파트,공공용,충청북도 진천군 진천읍 장관2길 139,36.87195027,127.437954,13336,16164,Y,지하주차장,043-539-3692,충청북도 진천군
162,우주동백2차 아파트 지하 비상대피시설,공공용,충청북도 진천군 진천읍 장관2길 153,36.87065167,127.4392072,1322,1602,Y,지하주차장,043-539-3692,충청북도 진천군
163,남해오네뜨아파트,공공용,충청북도 진천군 진천읍 장관2길 159,36.87205292,127.4400474,5490,6655,Y,지하주차장,043-539-3692,충청북도 진천군
164,진도쇼핑 지하주차장,공공용,충청북도 진천군 진천읍 중앙동로 91,36.85794917,127.4442345,714,865,Y,지하주차장,043-539-3692,충청북도 진천군
165,터미널 지하대피소,공공용,충청북도 진천군 진천읍 중앙북1길 3,36.85963968,127.4383951,1322,1602,Y,지하주차장,043-539-3692,충청북도 진천군
166,교성주공아파트 지하주차장,공공용,충청북도 진천군 진천읍 중앙서로 89,36.85148989,127.4413894,7934,9617,Y,지하주차장,043-539-3692,충청북도 진천군
167,부영2차아파트,공공용,충청북도 진천군 진천읍 진광로 97-13,36.8736409,127.4398569,16241,19686,Y,지하주차장,043-539-3692,충청북도 진천군
